Date,Vendor Name,Country,Product,Gross Bookings,Fees
1/1/2015,Vendor A,Country 13,Product 4,53648.91,3262.12
1/1/2015,Vendor A,Country 16,Product 4,16218.25,1073.82
1/1/2015,Vendor A,Country 46,Product 12,323.51,27.06
1/1/2015,Vendor A,Country 33,Product 12,8711.63,725.57
1/1/2015,Vendor A,Country 47,Product 12,6144.22,514.13
1/1/2015,Vendor A,Country 27,Product 2,30.15,7.69
1/1/2015,Vendor A,Country 17,Product 8,3.65,0.05
1/1/2015,Vendor A,Country 28,Product 4,21214.94,667.23
1/1/2015,Vendor A,Country 21,Product 4,7194.63,216.52
1/1/2015,Vendor A,Country 31,Product 9,377495.77,24318.81
1/1/2015,Vendor A,Country 48,Product 10,48.79,4.1
1/1/2015,Vendor A,Country 34,Product 10,65.31,5.49
1/1/2015,Vendor A,Country 35,Product 4,966508.54,27809.01
1/1/2015,Vendor B,Country 30,Product 6,52075.4,1458.11
1/1/2015,Vendor B,Country 20,Product 6,5489.96,156.71
1/1/2015,Vendor B,Country 13,Product 6,10713.02,300.48
1/1/2015,Vendor C,Country 44,Product 7,2.75,0.05
1/1/2015,Vendor C,Country 7,Product 7,270526.36,5027.91
1/1/2015,Vendor A,Country 35,Product 9,6528057.44,99767.4
1/1/2015,Vendor A,Country 5,Product 9,18797.22,519.99
1/1/2015,Vendor A,Country 42,Product 2,17.7,1.49
1/1/2015,Vendor A,Country 7,Product 10,474.98,40.11
1/1/2015,Vendor A,Country 49,Product 9,26291.12,1119.82
1/1/2015,Vendor A,Country 2,Product 4,547834.88,33343.81
1/1/2015,Vendor A,Country 11,Product 10,209.55,17.96
1/1/2015,Vendor A,Country 47,Product 2,28.18,2.37
1/1/2015,Vendor A,Country 19,Product 3,14.18,0.41
1/1/2015,Vendor A,Country 39,Product 4,26644.21,2012.33
1/1/2015,Vendor A,Country 22,Product 12,2.67,0.23
1/1/2015,Vendor A,Country 23,Product 8,61.52,1.34
1/1/2015,Vendor A,Country 23,Product 2,0.59,5.17
1/1/2015,Vendor A,Country 40,Product 3,147.13,3.31
1/1/2015,Vendor A,Country 42,Product 4,5878.47,144.36
1/1/2015,Vendor A,Country 9,Product 1,8.39,0.07
1/1/2015,Vendor A,Country 48,Product 12,1478.74,123.33
1/1/2015,Vendor A,Country 27,Product 10,28.02,2.35
1/1/2015,Vendor A,Country 26,Product 1,13.66,0.21
1/1/2015,Vendor A,Country 50,Product 3,64.49,1.43
1/1/2015,Vendor A,Country 28,Product 10,136.92,11.5
1/1/2015,Vendor A,Country 1,Product 2,228.08,19.16
1/1/2015,Vendor A,Country 50,Product 2,-16.64,128.47
1/1/2015,Vendor A,Country 25,Product 10,8.83,0.74
1/1/2015,Vendor A,Country 49,Product 8,24.43,0.89
1/1/2015,Vendor A,Country 45,Product 1,10.8,0.06
1/1/2015,Vendor A,Country 2,Product 3,30.3,1.42
1/1/2015,Vendor A,Country 51,Product 12,398.3,33.16
1/1/2015,Vendor A,Country 33,Product 8,89.17,1.61
1/1/2015,Vendor A,Country 1,Product 10,151.04,13.25
1/1/2015,Vendor A,Country 1,Product 3,79.17,1.64
1/1/2015,Vendor A,Country 9,Product 2,22.59,1.9
1/1/2015,Vendor B,Country 50,Product 6,44490.85,1290.24
1/1/2015,Vendor B,Country 52,Product 6,3588.59,103.85
1/1/2015,Vendor B,Country 23,Product 6,3207.54,87.66
1/1/2015,Vendor B,Country 39,Product 6,6830.82,197.68
1/1/2015,Vendor B,Country 12,Product 6,2748.7,79.66
1/1/2015,Vendor C,Country 27,Product 7,11167.6,205.96
1/1/2015,Vendor A,Country 8,Product 4,262131.16,16577.92
1/1/2015,Vendor A,Country 43,Product 8,18.27,0.18
1/1/2015,Vendor A,Country 1,Product 9,72966.87,2103.19
1/1/2015,Vendor A,Country 50,Product 10,33.5,2.81
1/1/2015,Vendor A,Country 3,Product 10,42.6,3.58
1/1/2015,Vendor A,Country 29,Product 10,877.05,73.86
1/1/2015,Vendor A,Country 45,Product 2,8.74,0.76
1/1/2015,Vendor A,Country 15,Product 9,10094.38,780.02
1/1/2015,Vendor A,Country 10,Product 9,227536.03,12796.43
1/1/2015,Vendor A,Country 10,Product 4,118737.41,7073.43
1/1/2015,Vendor A,Country 53,Product 9,122628.81,9827.26
1/1/2015,Vendor A,Country 47,Product 4,11218.24,844.66
