Date,Vendor Name,Country,Product, Gross Bookings , Fees ,Fees/ Gross Bookings,,,Total Cell Range:,7911
2/1/2015,Vendor A,Country 1,Product 2,318.59,32.57,0.102231708,,,,
2/1/2015,Vendor A,Country 32,Product 12,528.39,44.02,0.083309677,,,,
2/1/2015,Vendor A,Country 43,Product 2,28.92,2.43,0.084024896,,,,
2/1/2015,Vendor A,Country 34,Product 2,126.24,10.61,0.084046261,,,,
2/1/2015,Vendor A,Country 1,Product 10,180.32,15.16,0.08407276,,,,
2/1/2015,Vendor A,Country 48,Product 12,1947.47,162.38,0.083379975,,,,
2/1/2015,Vendor A,Country 11,Product 10,488.72,41.44,0.084792928,,,,
2/1/2015,Vendor A,Country 47,Product 8,5,0.11,0.022,,,,
2/1/2015,Vendor A,Country 17,Product 3,6.89,0.22,0.031930334,,,,
2/1/2015,Vendor A,Country 48,Product 4,4597.01,89.79,0.019532261,,,,
2/1/2015,Vendor A,Country 42,Product 3,36.85,0.81,0.021981004,,,,
2/1/2015,Vendor A,Country 30,Product 3,6.47,0.15,0.023183926,,,,
2/1/2015,Vendor F,Country 2,Product 9,33469679.76,913065.06,0.027280364,,,,
2/1/2015,Vendor C,Country 2,Product 7,4653606.58,89468.14,0.019225549,,,,
2/1/2015,Vendor C,Country 1,Product 7,17847.05,330.67,0.018527992,,,,
2/1/2015,Vendor C,Country 26,Product 7,23.08,0.44,0.019064125,,,,
2/1/2015,Vendor A,Country 45,Product 12,4300.32,345.67,0.08038239,,,,
2/1/2015,Vendor A,Country 39,Product 9,54181.78,4002.35,0.073868928,,,,
2/1/2015,Vendor A,Country 18,Product 9,515678.85,35046.08,0.067961058,,,,
2/1/2015,Vendor A,Country 19,Product 12,5178.53,438.73,0.084720954,,,,
2/1/2015,Vendor A,Country 10,Product 3,40.93,0.96,0.023454679,,,,
2/1/2015,Vendor A,Country 8,Product 9,996083.87,64431.52,0.064684834,,,,
2/1/2015,Vendor A,Country 27,Product 9,54742.78,1219.35,0.02227417,,,,
2/1/2015,Vendor A,Country 48,Product 9,14895.31,145.16,0.009745349,,,,
2/1/2015,Vendor A,Country 28,Product 4,22444.65,745.33,0.033207468,,,,
2/1/2015,Vendor A,Country 43,Product 4,11242.47,313.96,0.027926248,,,,
2/1/2015,Vendor A,Country 37,Product 10,28.23,2.37,0.083953241,,,,
2/1/2015,Vendor A,Country 40,Product 2,343.58,34.27,0.099743873,,,,
2/1/2015,Vendor A,Country 25,Product 12,54349.93,4555.11,0.08381078,,,,
2/1/2015,Vendor A,Country 7,Product 2,1077.45,132.94,0.123383916,,,,
2/1/2015,Vendor A,Country 8,Product 2,405.12,123.36,0.30450237,,,,
2/1/2015,Vendor A,Country 28,Product 8,13.5,0.36,0.026666667,,,,
2/1/2015,Vendor A,Country 3,Product 9,220525.6,15274.2,0.069262707,,,,
2/1/2015,Vendor A,Country 3,Product 11,84233.52,5327.12,0.063242282,,,,
2/1/2015,Vendor A,Country 11,Product 4,30518.31,2004.75,0.065690073,,,,
2/1/2015,Vendor A,Country 10,Product 4,110061.23,6660.24,0.060513952,,,,
2/1/2015,Vendor A,Country 47,Product 4,11263.73,849.55,0.075423505,,,,
2/1/2015,Vendor A,Country 43,Product 10,804.93,68.84,0.085522965,,,,
2/1/2015,Vendor A,Country 21,Product 12,1729.48,144.41,0.083499086,,,,
2/1/2015,Vendor A,Country 44,Product 12,707.76,59.46,0.084011529,,,,
2/1/2015,Vendor A,Country 53,Product 8,7.71,0.1,0.012970169,,,,
2/1/2015,Vendor A,Country 5,Product 4,5499.1,180.74,0.032867196,,,,
2/1/2015,Vendor A,Country 41,Product 8,16.97,0.42,0.024749558,,,,
2/1/2015,Vendor A,Country 6,Product 8,22.43,0.35,0.015604102,,,,
2/1/2015,Vendor A,Country 3,Product 2,764.91,75.79,0.099083552,,,,
